CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Arab World,ARB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1960,133.5609074055
Arab World,ARB,Age dependency ratio (% of working-age population),SP.POP.DPND,1960,87.7976011533
Arab World,ARB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1960,6.6345791916
Arab World,ARB,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1960,81.0233295084
Arab World,ARB,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,1960,3000000
Arab World,ARB,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,538000000
Arab World,ARB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1960,47.6978880951
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,1960,59563.9892169935
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1960,0.6439635479
Arab World,ARB,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1960,5.041291754
Arab World,ARB,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,1960,84.8514729447
Arab World,ARB,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1960,49541.7072910323
Arab World,ARB,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,1960,4.7269813879
Arab World,ARB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1960,19.7544519237
Arab World,ARB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1960,6.9240273866
Arab World,ARB,Fixed telephone subscriptions,IT.MLT.MAIN,1960,406833
Arab World,ARB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,1960,0.6167005703
Arab World,ARB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.9296220724
Arab World,ARB,International migrant stock (% of population),SM.POP.TOTL.ZS,1960,2.990637128
Arab World,ARB,"International migrant stock, total",SM.POP.TOTL,1960,3324685
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,1960,47.8832458633
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,1960,45.8629492346
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,46.847058559
Arab World,ARB,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1960,4645918768.64097
Arab World,ARB,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1960,2468800000
Arab World,ARB,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,1960,16.4695398574
Arab World,ARB,Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,1960,2.2602073882
Arab World,ARB,Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1960,0.4496111471
Arab World,ARB,Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1960,6.379617628
Arab World,ARB,Merchandise exports to developing economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,1960,2.7908295528
Arab World,ARB,Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1960,2.0374270901
Arab World,ARB,Merchandise exports to developing economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,1960,9.0286779002
Arab World,ARB,Merchandise exports to developing economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,1960,5.9421581335
Arab World,ARB,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,1960,8.5102073882
Arab World,ARB,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,1960,68.5596241089
Arab World,ARB,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,1960,5130862535.56409
Arab World,ARB,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,1960,3924800000
Arab World,ARB,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1960,12.4719730942
Arab World,ARB,Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,1960,0.5809213208
Arab World,ARB,Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,1960,1.1134325316
Arab World,ARB,Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,1960,4.7416428863
Arab World,ARB,Merchandise imports from developing economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,1960,2.7695678761
Arab World,ARB,Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,1960,2.3899306971
Arab World,ARB,Merchandise imports from developing economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,1960,5.8729107216
Arab World,ARB,Merchandise imports from developing economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,1960,4.2295148797
Arab World,ARB,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,1960,6.0283326539
Arab World,ARB,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,1960,77.4256013045
Arab World,ARB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,1960,47.2421231605
Arab World,ARB,Mobile cellular subscriptions,IT.CEL.SETS,1960,0
Arab World,ARB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1960,0
Arab World,ARB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,1960,298.9357034803
Arab World,ARB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,1960,357.7055839918
Arab World,ARB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,1960,159.9502335645
Arab World,ARB,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,1960,249.3602248325
Arab World,ARB,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,1960,70000
Arab World,ARB,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,1960,354000000
Arab World,ARB,"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,1960,2060000
Arab World,ARB,"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,1960,71540000
Arab World,ARB,"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,1960,50000
Arab World,ARB,"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,1960,845270000
Arab World,ARB,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,1960,42550000
Arab World,ARB,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,1960,375000000
Arab World,ARB,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,1960,9.5354494732
Arab World,ARB,Net official development assistance and official aid received (constant 2012 US$),DT.ODA.ALLD.KD,1960,7296220000
Arab World,ARB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1960,881990000
Arab World,ARB,Net official development assistance received (constant 2012 US$),DT.ODA.ODAT.KD,1960,7296220000
Arab World,ARB,Net official development assistance received (current US$),DT.ODA.ODAT.CD,1960,881990000
Arab World,ARB,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,1960,3.5354647737
Arab World,ARB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,1960,33.7129877968
Arab World,ARB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1960,14.6449580595
Arab World,ARB,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,1960,43.1760796812
Arab World,ARB,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,1960,53.2884555451
Arab World,ARB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,1960,49.612960073
Arab World,ARB,"Population, total",SP.POP.TOTL,1960,92495902
Arab World,ARB,Rural population,SP.RUR.TOTL,1960,63558203
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,1960,68.7146157884
Arab World,ARB,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,1960,44.7692268696
Arab World,ARB,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,1960,39.5164599516
Arab World,ARB,Urban population,SP.URB.TOTL,1960,28937699
Arab World,ARB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1960,31.2853842116
Caribbean small states,CSS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1960,162.8712115722
Caribbean small states,CSS,Age dependency ratio (% of working-age population),SP.POP.DPND,1960,90.5425607126
Caribbean small states,CSS,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1960,7.8749986599
Caribbean small states,CSS,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1960,82.2875457799
Caribbean small states,CSS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1960,40.0170005434
Caribbean small states,CSS,CO2 emissions (kt),EN.ATM.CO2E.KT,1960,5878.201
Caribbean small states,CSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1960,1.4026407783
Caribbean small states,CSS,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1960,25.015595758
Caribbean small states,CSS,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,1960,71.4909544604
Caribbean small states,CSS,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1960,2318.736220642
Caribbean small states,CSS,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,1960,0.1247660636
Caribbean small states,CSS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1960,9.8131666268
Caribbean small states,CSS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1960,872575670.352893
Caribbean small states,CSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1960,5.5201029388
Caribbean small states,CSS,GDP at market prices (current US$),NY.GDP.MKTP.CD,1960,1917147689.85572
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,457.4647120379
Caribbean small states,CSS,GNI (current US$),NY.GNP.MKTP.CD,1960,1783460941.40221
Caribbean small states,CSS,Gross capital formation (current US$),NE.GDI.TOTL.CD,1960,608620983.865654
Caribbean small states,CSS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,5.0542659706
Caribbean small states,CSS,International migrant stock (% of population),SM.POP.TOTL.ZS,1960,4.4831428769
Caribbean small states,CSS,"International migrant stock, total",SM.POP.TOTL,1960,187880
Caribbean small states,CSS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,1960,64.3071018435
Caribbean small states,CSS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,1960,60.3368746538
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,62.271794842
Caribbean small states,CSS,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1960,623717113.922297
Caribbean small states,CSS,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1960,563900000
Caribbean small states,CSS,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,1960,12.3426139386
Caribbean small states,CSS,Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,1960,0
Caribbean small states,CSS,Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1960,3.9900691612
Caribbean small states,CSS,Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1960,0.0886682036
Caribbean small states,CSS,Merchandise exports to developing economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,1960,0.124135485
Caribbean small states,CSS,Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1960,0.1773364072
Caribbean small states,CSS,Merchandise exports to developing economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,1960,3.2097889697
Caribbean small states,CSS,Merchandise exports to developing economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,1960,1.1704202873
Caribbean small states,CSS,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,1960,0.0886682036
Caribbean small states,CSS,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,1960,83.2771768044
Caribbean small states,CSS,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,1960,824039890.000001
Caribbean small states,CSS,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,1960,649000000
Caribbean small states,CSS,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1960,7.1340523883
Caribbean small states,CSS,Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,1960,0
Caribbean small states,CSS,Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,1960,3.2203389831
Caribbean small states,CSS,Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,1960,0.061633282
Caribbean small states,CSS,Merchandise imports from developing economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,1960,0.6163328197
Caribbean small states,CSS,Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,1960,0.0462249615
Caribbean small states,CSS,Merchandise imports from developing economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,1960,2.6656394453
Caribbean small states,CSS,Merchandise imports from developing economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,1960,1.2480739599
Caribbean small states,CSS,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,1960,0.061633282
Caribbean small states,CSS,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,1960,88.9522342065
Caribbean small states,CSS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,1960,77.1313149123
Caribbean small states,CSS,Mobile cellular subscriptions,IT.CEL.SETS,1960,0
Caribbean small states,CSS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1960,0
Caribbean small states,CSS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,1960,201.4755785137
Caribbean small states,CSS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,1960,261.1188881752
Caribbean small states,CSS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,1960,62.0713990792
Caribbean small states,CSS,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,1960,81.9905961998
Caribbean small states,CSS,"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD,1960,20000
Caribbean small states,CSS,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,1960,8800000
Caribbean small states,CSS,"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,1960,18030000
Caribbean small states,CSS,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,1960,9210000
Caribbean small states,CSS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,1960,1.0188056031
Caribbean small states,CSS,Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS,1960,2.9854376503
Caribbean small states,CSS,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,1960,4.3356773512
Caribbean small states,CSS,Net official development assistance and official aid received (constant 2012 US$),DT.ODA.ALLD.KD,1960,215490000
Caribbean small states,CSS,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1960,18170000
Caribbean small states,CSS,Net official development assistance received (constant 2012 US$),DT.ODA.ODAT.KD,1960,215490000
Caribbean small states,CSS,Net official development assistance received (current US$),DT.ODA.ODAT.CD,1960,18170000
Caribbean small states,CSS,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,1960,4.1411874603
Caribbean small states,CSS,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,1960,43.2722133868
Caribbean small states,CSS,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,1960,52.5865991529
Caribbean small states,CSS,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,1960,51.3258681991
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,1960,4190810
